Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,2.302321108487936,18.389423076923077,2.0262641241073607,22.06
2,1.9744656468049073,24.32892628205128,1.8814153688430786,28.2
3,1.854502178155459,29.033954326923077,1.8408910440444946,30.09
4,1.7740597190001073,32.68980368589744,1.7260862075805663,34.69
5,1.7356510651417267,34.5703125,1.7462348859786987,34.59
6,1.712470062268086,35.90745192307692,1.6853594915390016,37.08
7,1.6972275895950122,36.33814102564103,1.7144408210754394,36.1
